NORM_NAME;NAME
com.android.internal.telephony.DataConnectionTracker.notifyOffApnsOfAvailability(string);DataConnectionTracker.notifyOffApnsOfAvailability(String)
com.android.internal.telephony.DataConnectionTracker.isApnTypeEnabled(string);DataConnectionTracker.isApnTypeEnabled(String)
com.android.internal.telephony.DataConnectionTracker.isApnIdEnabled(int);DataConnectionTracker.isApnIdEnabled(int)
com.android.internal.telephony.DataConnectionTracker.enableApnType(string);DataConnectionTracker.enableApnType(String)
com.android.internal.telephony.DataConnectionTracker.disableApnType(string);DataConnectionTracker.disableApnType(String)
com.android.internal.telephony.DataConnectionTracker.setEnabled(boolean, int);DataConnectionTracker.setEnabled(int, boolean)
com.android.internal.telephony.DataConnectionTracker.onEnableApn(int, int);DataConnectionTracker.onEnableApn(int, int)
com.android.internal.telephony.DataConnectionTracker.onEnableNewApn();DataConnectionTracker.onEnableNewApn()
com.android.internal.telephony.DataConnectionTracker.onResetDone(asyncresult);DataConnectionTracker.onResetDone(AsyncResult)
com.android.internal.telephony.DataConnectionTracker.setInternalDataEnabled(boolean);DataConnectionTracker.setInternalDataEnabled(boolean)
com.android.internal.telephony.DataConnectionTracker.onSetInternalDataEnabled(boolean);DataConnectionTracker.onSetInternalDataEnabled(boolean)
com.android.internal.telephony.DataConnectionTracker.cleanUpAllConnections(string);DataConnectionTracker.cleanUpAllConnections(String)
com.android.internal.telephony.DataConnectionTracker.isDisconnected();DataConnectionTracker.isDisconnected()
com.android.internal.telephony.DataConnectionTracker.onSetUserDataEnabled(boolean);DataConnectionTracker.onSetUserDataEnabled(boolean)
com.android.internal.telephony.DataConnectionTracker.onSetDependencyMet(boolean, string);DataConnectionTracker.onSetDependencyMet(String, boolean)
com.android.internal.telephony.DataConnectionTracker.onSetPolicyDataEnabled(boolean);DataConnectionTracker.onSetPolicyDataEnabled(boolean)
com.android.internal.telephony.DataConnectionTracker.getReryConfig(boolean);DataConnectionTracker.getReryConfig(boolean)
com.android.internal.telephony.DataConnectionTracker.resetAllRetryCounts();DataConnectionTracker.resetAllRetryCounts()
com.android.internal.telephony.DataConnectionTracker.resetPollStats();DataConnectionTracker.resetPollStats()
com.android.internal.telephony.DataConnectionTracker.getOverallState();DataConnectionTracker.getOverallState()
com.android.internal.telephony.DataConnectionTracker.startNetStatPoll();DataConnectionTracker.startNetStatPoll()
com.android.internal.telephony.DataConnectionTracker.stopNetStatPoll();DataConnectionTracker.stopNetStatPoll()
