CommitNumber;Entity;Method;Change
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.taskdefs.Javac.setClasspath(String);MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.taskdefs.Javac.setBootclasspath(String);MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.taskdefs.Javac.setExtdirs(String);MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.taskdefs.Javac.execute();MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.taskdefs.KeySubst.execute();MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.taskdefs.Rmic.setClasspath(String);MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.taskdefs.Rmic.execute();MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.taskdefs.Javadoc.setClasspath(String);MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.taskdefs.Javadoc.setBootclasspath(String);MODIFIED
b532f7d6f5129f196803b6081fa84c9b97f367e2;METHOD;org.apache.tools.ant.taskdefs.FixCRLF.execute();MODIFIED
e9be6954c298520c4e53220bbb8b091613894cf9;METHOD;org.apache.tools.ant.taskdefs.Zip.execute();MODIFIED
c85c806e1dbf8423bd60fa9e014ce13b5cfb331e;METHOD;org.apache.tools.ant.taskdefs.FixCRLF.execute();MODIFIED
9bf374a0c34137900f22b4b1e165dfd893f6483f;METHOD;org.apache.tools.ant.Project.addFilter(String,String);MODIFIED
9bf374a0c34137900f22b4b1e165dfd893f6483f;METHOD;org.apache.tools.ant.Project.copyFile(String,String);MODIFIED
9bf374a0c34137900f22b4b1e165dfd893f6483f;METHOD;org.apache.tools.ant.Project.copyFile(File,File);MODIFIED
9bf374a0c34137900f22b4b1e165dfd893f6483f;METHOD;org.apache.tools.ant.taskdefs.Copydir.execute();MODIFIED
9bf374a0c34137900f22b4b1e165dfd893f6483f;METHOD;org.apache.tools.ant.taskdefs.Copyfile.execute();MODIFIED
9bf374a0c34137900f22b4b1e165dfd893f6483f;METHOD;org.apache.tools.ant.taskdefs.Javac.execute();MODIFIED
9bf374a0c34137900f22b4b1e165dfd893f6483f;METHOD;org.apache.tools.ant.taskdefs.Rmic.setBase(String);MODIFIED
9bf374a0c34137900f22b4b1e165dfd893f6483f;METHOD;org.apache.tools.ant.taskdefs.Rmic.setClass(String);MODIFIED
9bf374a0c34137900f22b4b1e165dfd893f6483f;METHOD;org.apache.tools.ant.taskdefs.Rmic.setSourceBase(String);MODIFIED
9bf374a0c34137900f22b4b1e165dfd893f6483f;METHOD;org.apache.tools.ant.taskdefs.Rmic.setStubVersion(String);MODIFIED
9bf374a0c34137900f22b4b1e165dfd893f6483f;METHOD;org.apache.tools.ant.taskdefs.Rmic.execute();MODIFIED
9bf374a0c34137900f22b4b1e165dfd893f6483f;METHOD;org.apache.tools.ant.taskdefs.Rmic.getCompileClasspath(File);MODIFIED
349dc3c261dcbb19c2d7dea9bcbe1bb7eeb8d644;METHOD;org.apache.tools.ant.ProjectHelper.configureTasks(Project,Target,Element);MODIFIED
1ca00a17d6a779ce02993e128b2692c04825bbd2;METHOD;org.apache.tools.ant.taskdefs.Java.setClass(String);MODIFIED
1ca00a17d6a779ce02993e128b2692c04825bbd2;METHOD;org.apache.tools.ant.taskdefs.Rmic.setClass(String);MODIFIED
1ca00a17d6a779ce02993e128b2692c04825bbd2;METHOD;org.apache.tools.ant.taskdefs.Taskdef.setClass(String);MODIFIED
1ca00a17d6a779ce02993e128b2692c04825bbd2;METHOD;org.apache.tools.ant.taskdefs.Available.setClass(String);MODIFIED
3a3d4464cf3681e5886a038c50854c30ce8173c3;METHOD;org.apache.tools.ant.Project.setUserProperty(String,String);MODIFIED
3a3d4464cf3681e5886a038c50854c30ce8173c3;METHOD;org.apache.tools.ant.taskdefs.Ant.execute();MODIFIED
3a3d4464cf3681e5886a038c50854c30ce8173c3;METHOD;org.apache.tools.ant.taskdefs.Property.init();MODIFIED
3a3d4464cf3681e5886a038c50854c30ce8173c3;METHOD;org.apache.tools.ant.taskdefs.Property.addProperties(Properties);MODIFIED
b37e1fbca2dbd3dbdcff25c7b79f0d653b36db0f;METHOD;org.apache.tools.ant.ProjectHelper.processNestedProperties(Project,Object,Element);MODIFIED
9f8a78996b88de9597ff3e1b08728f325acb4329;METHOD;org.apache.tools.ant.Main.runBuild();MODIFIED
9f8a78996b88de9597ff3e1b08728f325acb4329;METHOD;org.apache.tools.ant.Project.detectJavaVersion();MODIFIED
9f8a78996b88de9597ff3e1b08728f325acb4329;METHOD;org.apache.tools.ant.taskdefs.Ant.execute();MODIFIED
9f8a78996b88de9597ff3e1b08728f325acb4329;METHOD;org.apache.tools.ant.taskdefs.Get.execute();MODIFIED
5aa5831319725a391d50199968871f851c1516cb;METHOD;org.apache.tools.ant.Project.setBaseDir(File);MODIFIED
5aa5831319725a391d50199968871f851c1516cb;METHOD;org.apache.tools.ant.taskdefs.Deltree.removeDir(File);MODIFIED
a9a5d666990d3b3d4043217829a5d113d8d0dfa9;METHOD;org.apache.tools.ant.taskdefs.Javac.doJikesCompile();MODIFIED
a9a5d666990d3b3d4043217829a5d113d8d0dfa9;METHOD;org.apache.tools.ant.taskdefs.Available.checkResource(String);MODIFIED
a9a5d666990d3b3d4043217829a5d113d8d0dfa9;METHOD;org.apache.tools.ant.taskdefs.FixCRLF.execute();MODIFIED
7cab201d340ec51668f06f7654224509d57f66fc;METHOD;org.apache.tools.ant.taskdefs.Javac.scanDir(File,File,String);MODIFIED
11c3350e17b5a5d82207c4a8780965685f100d66;METHOD;org.apache.tools.ant.taskdefs.Chmod.execute();MODIFIED
11c3350e17b5a5d82207c4a8780965685f100d66;METHOD;org.apache.tools.ant.taskdefs.Javac.scanDir(File,File,String);MODIFIED
11c3350e17b5a5d82207c4a8780965685f100d66;METHOD;org.apache.tools.ant.taskdefs.Delete.execute();MODIFIED
e34d48bf1f23fd5370e33700427a9f773742087e;METHOD;org.apache.tools.ant.ProjectHelper.configureProject(Project,File);MODIFIED
e34d48bf1f23fd5370e33700427a9f773742087e;METHOD;org.apache.tools.ant.ProjectHelper.configureTargets(Project,Element);MODIFIED
e34d48bf1f23fd5370e33700427a9f773742087e;METHOD;org.apache.tools.ant.ProjectHelper.configureTasks(Project,Target,Element);MODIFIED
d51beb631ca7223825d27bda5d4886bb0c2a0634;METHOD;org.apache.tools.ant.Project.createTask(String);MODIFIED
c8f6d66a9e233681b639bfcaa394da9e03a0655d;METHOD;org.apache.tools.ant.taskdefs.Javadoc.execute();MODIFIED
6e58340efb9ec1890e8d574409d1dcaee9870769;METHOD;org.apache.tools.ant.taskdefs.Javac.execute();MODIFIED
6e58340efb9ec1890e8d574409d1dcaee9870769;METHOD;org.apache.tools.ant.taskdefs.Javac.scanDir(File,File,String);MODIFIED
8fc6615f333bde946b4ffbf1f312a270e5348ecf;METHOD;org.apache.tools.ant.BuildException.BuildException(Exception);MODIFIED
334bbbf0b5bed85a3df67db69c28d3c734cfb081;METHOD;org.apache.tools.ant.ProjectHelper.configureTargets(Project,Element);MODIFIED
334bbbf0b5bed85a3df67db69c28d3c734cfb081;METHOD;org.apache.tools.ant.ProjectHelper.processNestedProperties(Project,Object,Element);MODIFIED
334bbbf0b5bed85a3df67db69c28d3c734cfb081;METHOD;org.apache.tools.ant.ProjectHelper.configure(Project,Object,NamedNodeMap);MODIFIED
